City,Country,Date,Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude
busselton,AU,1572727275,10.14,70,2.73,82,-33.64,115.35
rikitea,PF,1572727275,21.39,80,6.84,57,-23.12,-134.97
lorengau,PG,1572727275,26.68,75,1.02,100,-2.02,147.27
ligayan,PH,1572727275,28.53,71,2.47,99,4.65,119.47
bandarbeyla,SO,1572727275,27.9,72,2.0,41,9.49,50.81
ushuaia,AR,1572727276,10.0,61,9.8,75,-54.81,-68.31
maragogi,BR,1572727276,26.4,75,5.51,26,-9.01,-35.22
rio grande,BR,1572727276,22.58,94,2.6,90,-32.03,-52.1
naze,NG,1572727276,25.0,94,2.1,75,5.43,7.07
mar del plata,AR,1572727276,18.85,29,13.91,33,-46.43,-67.52
anqing,CN,1572727276,18.68,49,2.12,93,30.51,117.04
dikson,RU,1572727276,-18.41,83,0.45,64,73.51,80.55
yerbogachen,RU,1572727276,-3.83,86,6.32,94,61.28,108.01
avarua,CK,1572727276,26.0,65,7.7,100,-21.21,-159.78
sao joao da barra,BR,1572727276,25.96,65,7.7,40,-21.64,-41.05
balabac,PH,1572727277,26.33,81,3.98,100,7.99,117.06
qaanaaq,GL,1572727277,-10.3,58,3.79,100,77.48,-69.36
homer,US,1572727277,4.2,93,0.39,90,59.64,-151.54
port elizabeth,US,1572727277,12.13,46,2.56,1,39.31,-74.98
dabhol,IN,1572727277,26.43,84,4.63,3,17.6,73.17
hilo,US,1572727277,26.71,58,5.25,1,19.71,-155.08
ponta do sol,BR,1572727277,22.34,82,1.72,37,-20.63,-46.0
smoky lake,CA,1572727277,6.67,85,2.24,100,54.11,-112.47
new norfolk,AU,1572727277,10.36,81,3.1,20,-42.78,147.06
belmonte,PT,1572727277,13.93,78,4.85,100,40.36,-7.35
calama,CL,1572727277,23.94,13,11.3,38,-22.46,-68.93
talnakh,RU,1572727277,-21.4,98,3.07,100,69.49,88.39
waipawa,NZ,1572727278,19.44,65,0.45,0,-39.94,176.59
pierre,US,1572727034,11.5,29,4.1,1,44.37,-100.35
kiruna,SE,1572727264,-14.0,77,3.6,0,67.86,20.23
la rioja,AR,1572727278,20.43,38,3.85,14,-29.41,-66.86
kodiak,US,1572727278,10.48,37,6.2,40,39.95,-94.76
albany,US,1572727278,8.25,43,3.6,20,42.65,-73.75
punta arenas,CL,1572727278,11.82,54,15.4,100,-53.16,-70.91
barrow,AR,1572727278,15.39,60,5.41,0,-38.31,-60.23
cape town,ZA,1572727278,17.81,82,4.6,40,-33.93,18.42
hermanus,ZA,1572727278,17.16,83,3.58,100,-34.42,19.24
srikakulam,IN,1572727278,22.53,91,1.44,19,18.29,83.89
wamba,CD,1572727278,19.15,97,0.86,96,2.14,27.99
kaitangata,NZ,1572727278,24.44,21,7.6,0,-46.28,169.85
provideniya,RU,1572727279,-8.07,90,0.73,0,64.42,-173.23
khatanga,RU,1572727279,-21.47,92,3.73,100,71.98,102.47
carnarvon,ZA,1572727279,17.67,23,5.72,0,-30.97,22.13
vaini,IN,1572727279,18.41,90,0.64,0,15.34,74.49
la ronge,CA,1572727279,1.0,74,2.1,90,55.1,-105.3
nioro,GM,1572727279,31.6,41,4.17,91,13.79,-15.05
butaritari,KI,1572727279,28.6,77,6.35,2,3.07,172.79
san andres,PH,1572727279,24.35,91,0.56,100,13.32,122.68
port hedland,AU,1572727279,18.0,52,3.6,10,-20.31,118.58
neiafu,TO,1572727279,23.0,69,3.1,75,-18.65,-173.98
noumea,NC,1572727173,22.9,68,1.5,40,-22.28,166.46
kapaa,US,1572727034,28.11,69,5.7,20,22.08,-159.32
sorland,NO,1572727280,4.58,67,9.71,100,67.67,12.69
kuching,MY,1572727280,23.93,94,1.0,75,1.56,110.34
jasper,US,1572727280,14.89,33,2.6,1,33.83,-87.28
souillac,FR,1572727280,12.59,93,7.7,100,45.6,-0.6
tasiilaq,GL,1572727280,-3.08,59,2.41,100,65.61,-37.64
hobart,AU,1572727246,10.35,81,3.1,20,-42.88,147.33
djibo,BF,1572727280,31.77,12,4.03,0,14.1,-1.63
east london,ZA,1572727280,19.5,59,5.51,16,-33.02,27.91
shingu,JP,1572727280,17.57,74,2.33,33,33.72,135.99
cayenne,GF,1572727280,28.0,78,0.5,19,4.94,-52.33
bethel,US,1572727280,-5.24,79,7.2,1,60.79,-161.76
bredasdorp,ZA,1572727280,17.06,67,8.2,79,-34.53,20.04
ulladulla,AU,1572727280,17.97,82,0.5,40,-35.36,150.48
rio gallegos,AR,1572727223,17.0,27,10.3,100,-51.62,-69.22
tefe,BR,1572727159,25.0,94,2.6,75,-3.35,-64.71
letlhakane,BW,1572727281,21.87,67,2.87,85,-21.42,25.59
barra patuca,HN,1572727281,28.39,71,5.13,27,15.8,-84.28
oliver,CA,1572727281,8.33,42,4.6,90,49.18,-119.55
severo-kurilsk,RU,1572727281,0.7,87,4.15,92,50.68,156.12
henties bay,NA,1572727281,22.21,39,0.4,0,-22.12,14.28
atuona,PF,1572727281,26.67,72,6.42,98,-9.8,-139.03
cherskiy,RU,1572727281,-11.42,85,4.54,3,68.75,161.3
klaksvik,FO,1572727281,6.0,70,10.3,100,62.23,-6.59
charlestown,US,1572727281,9.39,57,2.6,20,41.38,-71.64
mataura,NZ,1572727281,18.3,56,4.25,0,-46.19,168.86
omboue,GA,1572727281,23.64,96,1.25,97,-1.57,9.26
sisimiut,GL,1572727281,-6.44,62,2.02,61,66.94,-53.67
tuktoyaktuk,CA,1572727281,-4.0,92,1.0,75,69.44,-133.03
pacific grove,US,1572727103,24.32,15,4.1,1,36.62,-121.92
ahipara,NZ,1572727282,19.44,90,0.45,100,-35.17,173.16
husavik,CA,1572727282,1.67,78,2.24,68,50.56,-96.99
nome,US,1572727282,18.02,39,3.1,1,30.04,-94.42
vardo,US,1572727282,10.75,43,2.1,1,39.62,-77.74
pevek,RU,1572727282,-11.74,82,2.64,68,69.7,170.27
georgetown,GY,1572727282,24.28,100,3.1,20,6.8,-58.16
izumo,JP,1572727282,12.0,87,1.0,75,35.37,132.75
marzuq,YE,1572727282,20.44,44,0.88,99,14.4,46.47
emerald,AU,1572727282,20.31,88,3.6,52,-23.53,148.16
mantua,IT,1572727282,10.25,93,1.5,75,45.16,10.79
kaiu,EE,1572727282,2.32,93,3.6,90,59.01,25.06
lompoc,US,1572727282,26.33,10,4.1,1,34.64,-120.46
kiunga,PG,1572727282,21.8,97,0.35,63,-6.12,141.3
castro,CL,1572727282,13.0,62,5.1,75,-42.48,-73.76
coihaique,CL,1572727283,10.89,54,2.6,75,-45.58,-72.07
san patricio,PY,1572727283,35.87,41,0.93,0,-26.98,-56.83
iqaluit,CA,1572727283,-2.13,79,2.86,90,63.75,-68.52
rabo de peixe,PT,1572727283,18.0,72,2.6,20,37.8,-25.58
saint-philippe,CA,1572727283,6.29,60,3.1,90,45.36,-73.48
asasa,ET,1572727283,7.72,80,1.66,0,7.1,39.2
bluff,AU,1572727283,21.09,83,6.15,67,-23.58,149.07
aripuana,BR,1572727283,22.72,97,2.27,100,-9.17,-60.63
bonfim,BR,1572727283,19.86,91,2.4,3,-20.33,-44.24
nicoya,CR,1572727283,25.74,66,5.7,75,10.15,-85.45
tavda,RU,1572727283,-4.88,93,3.46,100,58.04,65.27
torbay,CA,1572727283,6.74,65,3.6,40,47.66,-52.73
hamilton,CA,1572727225,5.81,86,3.6,75,43.26,-79.87
geraldton,CA,1572727284,0.0,80,4.1,90,49.72,-86.95
ostrovnoy,RU,1572727284,-5.54,86,11.45,100,68.05,39.51
myaundzha,RU,1572727284,-12.13,82,1.75,91,63.05,147.18
naantali,FI,1572727284,4.3,93,1.5,90,60.45,22.03
flin flon,CA,1572727284,1.0,59,4.1,90,54.77,-101.88
vila velha,BR,1572727284,27.28,69,5.7,40,-3.71,-38.6
morondava,MG,1572727284,23.25,46,0.07,20,-20.3,44.28
lebu,ET,1572727284,16.0,48,3.1,20,8.96,38.73
idlib,SY,1572727284,16.0,63,3.1,20,35.93,36.64
san,ML,1572727278,31.31,24,2.58,32,13.3,-4.9
yellowknife,CA,1572727039,-3.91,92,4.6,90,62.45,-114.38
jasidih,IN,1572727284,21.65,66,2.53,74,24.51,86.65
havelock,US,1572727284,17.75,63,2.1,90,34.88,-76.9
mehamn,NO,1572727285,-6.86,81,4.0,4,71.03,27.85
namwala,ZM,1572727285,25.01,37,3.99,39,-15.75,26.45
rawson,AR,1572727285,14.99,50,4.35,0,-43.3,-65.11
meulaboh,ID,1572727285,25.94,77,2.8,99,4.14,96.13
clyde river,CA,1572727285,-5.0,53,3.6,20,70.47,-68.59
puerto ayora,EC,1572727285,24.34,57,9.3,20,-0.74,-90.35
ust-kuyga,RU,1572727285,-22.69,100,3.11,96,70.0,135.55
atar,MR,1572727285,26.37,20,3.78,0,20.52,-13.05
mahajanga,MG,1572727285,28.0,74,4.1,40,-15.72,46.32
coolum beach,AU,1572727285,20.56,96,0.45,5,-26.53,153.09
salamiyah,SY,1572727285,16.82,75,0.63,23,35.01,37.05
guisa,CU,1572727285,32.0,49,3.6,20,20.25,-76.54
seguela,CI,1572727285,24.21,86,0.6,22,7.96,-6.67
itarema,BR,1572727286,25.56,75,4.66,22,-2.92,-39.92
lagoa,PT,1572727286,18.45,93,6.2,75,37.14,-8.45
cedeno,CO,1572727286,30.04,55,1.24,12,7.05,-72.16
broome,GB,1572727286,10.53,93,5.1,40,52.47,1.45
kruisfontein,ZA,1572727286,15.44,76,7.3,0,-34.0,24.73
batagay-alyta,RU,1572727286,-21.49,83,2.17,90,67.8,130.41
gat,SN,1572727286,27.0,54,4.1,6,14.69,-16.54
nanortalik,GL,1572727286,0.52,67,4.56,0,60.14,-45.24
college,US,1572727286,-7.23,92,0.44,90,64.86,-147.8
narsaq,GL,1572727286,-1.0,58,1.5,20,60.91,-46.05
ambatofinandrahana,MG,1572727286,13.85,85,2.89,73,-20.55,46.8
chivay,PE,1572727286,12.68,28,2.75,23,-15.64,-71.6
druzhba,UA,1572727286,3.63,59,8.0,100,52.05,33.94
coahuayana,MX,1572727287,30.17,58,0.77,0,18.62,-100.35
samarai,PG,1572727287,24.66,90,2.23,100,-10.62,150.67
mikhaylovka,RU,1572727287,1.44,91,1.08,17,52.96,103.29
verkhnevilyuysk,RU,1572727287,-3.2,89,4.35,100,63.45,120.31
puerto escondido,MX,1572727287,32.0,59,3.1,40,15.86,-97.07
kalabo,ZM,1572727287,25.07,42,2.47,0,-15.0,22.67
port augusta,AU,1572727287,12.79,87,3.6,69,-32.49,137.76
karabuk,TR,1572727287,2.67,64,2.54,71,41.2,32.63
gorontalo,ID,1572727287,23.2,88,0.86,35,0.54,123.06
vangaindrano,MG,1572727287,18.36,93,0.29,63,-23.35,47.6
piacabucu,BR,1572727287,25.38,76,4.17,60,-10.41,-36.43
airai,TL,1572727287,18.18,55,1.58,0,-8.93,125.41
nikolskoye,RU,1572727287,2.13,86,5.0,90,59.7,30.79
avera,US,1572727287,18.18,36,4.1,1,33.19,-82.53
karachi,PK,1572727288,26.0,47,0.5,4,24.87,67.03
jamestown,AU,1572727039,13.68,49,0.97,59,-33.21,138.6
liloan,PH,1572727288,27.54,77,3.53,100,9.42,123.31
uige,AO,1572727288,20.46,92,0.61,96,-7.61,15.06
yar-sale,RU,1572727288,-14.9,84,3.21,34,66.83,70.83
guerrero negro,MX,1572727288,29.58,14,2.68,100,27.97,-114.04
capelinha,BR,1572727288,20.17,91,3.07,100,-17.69,-42.52
saint-augustin,CA,1572727288,6.23,60,2.1,75,45.63,-73.98
port alfred,ZA,1572727288,17.22,87,1.34,15,-33.59,26.89
tinskoy,RU,1572727288,-1.99,85,2.96,100,56.15,96.92
sisophon,KH,1572727288,22.88,93,2.03,100,13.59,102.97
alice springs,AU,1572727288,24.0,41,9.8,40,-23.7,133.88
saldanha,PT,1572727288,11.88,83,8.36,100,41.42,-6.55
ankazoabo,MG,1572727289,18.92,65,1.15,0,-22.29,44.51
grants,US,1572727289,16.0,10,3.88,1,35.15,-107.85
norman wells,CA,1572727289,-8.0,92,3.1,75,65.28,-126.83
camacha,PT,1572727289,22.0,83,7.2,40,33.08,-16.33
chapais,CA,1572727289,-2.0,92,3.6,90,49.78,-74.86
ankang,CN,1572727289,10.26,87,1.02,0,32.73,108.99
derzhavinsk,KZ,1572727289,-1.7,62,2.55,96,51.1,66.31
dudinka,RU,1572727289,-23.16,96,4.67,100,69.41,86.18
thompson,CA,1572727289,-3.0,86,2.6,90,55.74,-97.86
oistins,BB,1572727289,28.0,69,2.1,40,13.07,-59.53
palmer,AU,1572727289,14.44,72,4.6,20,-34.85,139.16
tongliao,CN,1572727290,-3.7,44,3.9,0,43.61,122.27
hithadhoo,MV,1572727290,27.62,68,1.53,0,-0.6,73.08
chokurdakh,RU,1572727290,-14.72,95,3.9,100,70.62,147.9
tuy hoa,VN,1572727290,25.55,91,7.08,100,13.08,109.3
innisfail,AU,1572727290,17.78,96,0.45,40,-17.52,146.03
youghal,IE,1572727290,8.77,87,7.2,75,51.95,-7.85
ashland,US,1572727290,11.65,58,5.1,90,38.48,-82.64
ugoofaaru,MV,1572727048,28.26,66,1.57,41,5.67,73.0
margate,AU,1572727290,10.34,81,3.1,20,-43.03,147.26
komsomolskiy,RU,1572727290,-13.57,95,4.44,100,67.55,63.78
batemans bay,AU,1572727290,16.84,92,0.45,99,-35.71,150.18
yining,CN,1572727290,14.26,80,0.99,81,29.04,114.56
halifax,CA,1572727032,7.58,49,2.53,5,44.65,-63.58
san vicente,EC,1572727291,25.0,83,6.2,75,-0.59,-80.41
dunedin,NZ,1572727291,25.56,34,0.89,0,-45.87,170.5
bambous virieux,MU,1572727291,22.57,78,5.7,75,-20.34,57.76
okhotsk,RU,1572727291,-0.8,78,8.61,100,59.36,143.24
upernavik,GL,1572727291,-6.03,66,3.96,100,72.79,-56.15
mount isa,AU,1572727291,24.0,60,1.5,0,-20.73,139.49
comodoro rivadavia,AR,1572727238,22.0,28,7.7,3,-45.87,-67.48
mosquera,CO,1572727291,15.0,82,2.1,75,4.71,-74.23
batagay,RU,1572727291,-21.89,84,1.8,35,67.65,134.64
arman,RU,1572727291,2.64,91,13.99,100,59.7,150.17
kochevo,BG,1572727291,8.48,81,1.4,90,42.1,24.92
pangody,RU,1572727292,-13.97,96,4.92,100,65.85,74.49
saskylakh,RU,1572727292,-21.73,97,3.79,100,71.97,114.09
whitehorse,CA,1572727255,2.21,82,2.6,75,60.72,-135.06
kalmanhaza,HU,1572727292,9.0,100,1.0,100,47.88,21.58
matara,BI,1572727292,14.38,81,1.76,15,-3.48,29.48
gondar,PT,1572727292,15.05,87,6.2,90,41.82,-8.78
tilichiki,RU,1572727292,-4.54,94,3.39,92,60.47,166.1
riyadh,SA,1572727218,26.0,39,3.1,0,24.63,46.72
grand-lahou,CI,1572727292,27.29,80,5.92,99,5.24,-5.0
yaan,NG,1572727292,24.76,86,1.71,64,7.38,8.57
laguna,BZ,1572727292,29.0,70,3.1,75,16.17,-88.94
mombetsu,JP,1572727292,5.74,67,10.37,5,44.35,143.35
cidreira,BR,1572727293,21.48,93,2.79,98,-30.17,-50.22
jatiroto,ID,1572727293,23.03,91,1.11,100,-7.61,109.46
sao sebastiao,BR,1572727293,33.76,35,0.85,26,-3.15,-58.36
concarneau,FR,1572727293,10.69,93,2.6,75,47.88,-3.92
benguela,AO,1572727293,23.73,87,4.2,94,-12.58,13.4
abu zabad,SD,1572727293,27.08,25,4.63,0,12.35,29.25
pareora,NZ,1572727293,23.53,52,1.37,0,-44.49,171.21
tambacounda,SN,1572727293,29.0,66,3.1,100,13.77,-13.67
ilulissat,GL,1572727293,-6.0,62,2.1,20,69.22,-51.1
gazanjyk,TM,1572727293,13.51,84,5.76,28,39.24,55.52
guadalupe y calvo,MX,1572727293,20.08,55,1.67,87,26.09,-106.96
tuma,RU,1572727293,1.11,84,2.91,94,55.15,40.55
lakatoro,VU,1572727293,26.02,77,6.55,68,-16.11,167.42
nuuk,GL,1572727294,-1.07,74,2.1,75,64.17,-51.74
manavalakurichi,IN,1572727294,26.0,88,1.5,40,8.13,77.3
najran,SA,1572727294,21.0,32,1.89,20,17.54,44.22
hobyo,SO,1572727294,27.01,76,10.1,93,5.35,48.53
bubaque,GW,1572727294,28.18,73,5.24,89,11.28,-15.83
alofi,NU,1572727294,24.0,69,5.1,75,-19.06,-169.92
teguise,ES,1572727294,24.0,73,5.7,20,29.06,-13.56
huarmey,PE,1572727294,23.43,55,4.35,83,-10.07,-78.15
vestmannaeyjar,IS,1572727294,5.51,71,8.86,100,63.44,-20.27
funadhoo,MV,1572727294,28.08,66,1.13,0,6.15,73.27
davao,PH,1572727294,26.0,94,1.5,40,6.81,125.71
khandyga,RU,1572727294,-23.35,98,0.33,96,62.65,135.58
codrington,AU,1572727294,17.32,100,3.6,0,-28.95,153.24
mercedes,UY,1572727294,22.78,79,3.13,72,-33.25,-58.03
miraflores,PE,1572727295,20.0,30,6.2,20,-16.39,-71.52
gemena,CD,1572727295,21.78,97,0.68,92,3.25,19.78
bend,US,1572727282,14.17,20,1.2,1,44.06,-121.32
umba,RU,1572727295,-1.7,91,10.83,100,66.69,34.34
luderitz,NA,1572727072,20.0,49,4.1,0,-26.65,15.16
prainha,BR,1572727295,32.93,41,1.33,73,-1.8,-53.48
arraial do cabo,BR,1572727295,25.0,78,9.8,40,-22.97,-42.02
beringovskiy,RU,1572727295,-2.08,89,2.37,100,63.05,179.32
ishim,RU,1572727295,-6.75,83,4.0,24,56.11,69.47
baykit,RU,1572727295,-10.65,87,3.83,97,61.68,96.39
niimi,JP,1572727295,10.17,87,1.0,75,34.97,133.47
mahebourg,MU,1572727295,22.55,78,5.7,75,-20.41,57.7
sandnessjoen,NO,1572727296,0.0,76,2.6,18,66.02,12.63
nelson bay,AU,1572727296,20.61,77,0.5,5,-32.72,152.14
cumra,TR,1572727296,3.0,49,1.5,10,37.57,32.77
kropotkin,RU,1572727296,2.78,38,3.13,0,45.43,40.58
petropavlovsk-kamchatskiy,RU,1572727296,3.0,100,0.45,75,53.05,158.65
sur,OM,1572727296,25.58,74,1.15,82,22.57,59.53
northam,AU,1572727296,10.0,93,3.1,33,-31.65,116.67
zamoly,HU,1572727296,8.83,100,0.5,90,47.32,18.41
kieta,PG,1572727296,25.76,90,4.16,100,-6.22,155.63
rawlins,US,1572727296,3.35,37,5.7,20,41.79,-107.24
chingola,ZM,1572727297,20.23,58,2.17,59,-12.55,27.86
